IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
B0024.14	EG189167	crm-1	N/A	N/A	W03G1.5	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG180264	crm-1	N/A	N/A	Y39B6A.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG178377	crm-1	N/A	N/A	Y64G10A.7	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG190560	crm-1	N/A	N/A	Y69H2.10	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG180221	crm-1	Y69H2.3	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG172901	crm-1	rps-7	N/A	ZC434.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG174464	crm-1	pqn-95	N/A	ZK1067.7	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.14	EG173288	crm-1	N/A	N/A	ZK849.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0034.3	EG173668	casy-1	N/A	N/A	C17F4.7	Two-hybrid	Li S (2004)	14704431	6239	6239
B0034.3	EG173846	casy-1	sgt-1	N/A	R05F9.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178043	EG172831	dnj-2	tba-1	B0035.2	F26E4.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178043	EG173846	dnj-2	sgt-1	B0035.2	R05F9.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG181823	EG181823	ptps-1	ptps-1	B0041.6	B0041.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG175796	N/A	rpl-23	B0205.3|rpn-10	B0336.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG175801	N/A	ARF	B0205.3|rpn-10	B0336.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG172822	N/A	ocrl-1	B0205.3|rpn-10	C16C2.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG173389	N/A	sptl-1	B0205.3|rpn-10	C23H3.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG179787	N/A	N/A	B0205.3|rpn-10	F15B9.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG177591	N/A	csr-1	B0205.3|rpn-10	F20D12.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG171800	N/A	N/A	B0205.3|rpn-10	F23C8.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG175925	N/A	rpt-3	B0205.3|rpn-10	F23F12.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG171602	N/A	rpl-7	B0205.3|rpn-10	F53G12.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG180748	N/A	rpl-25.1	B0205.3|rpn-10	F55D10.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG179645	N/A	N/A	B0205.3|rpn-10	F57F5.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG181004	N/A	mek-1	B0205.3|rpn-10	K08A8.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG187217	N/A	N/A	B0205.3|rpn-10	K09E2.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG176399	N/A	K11H3.1	B0205.3|rpn-10	gpdh-2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG176071	N/A	rpl-9	B0205.3|rpn-10	R13A5.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG179569	N/A	grl-7	B0205.3|rpn-10	T02E9.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG181610	N/A	collagen	B0205.3|rpn-10	T10B10.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG178221	N/A	N/A	B0205.3|rpn-10	T23B5.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG188854	N/A	N/A	B0205.3|rpn-10	T24D8.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172977	EG173232	N/A	N/A	B0205.3|rpn-10	W09C5.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172268	EG180896	air-2	N/A	B0207.4	C14F11.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172268	EG180718	air-2	asb-2	B0207.4	F02E8.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172268	EG173818	air-2	N/A	B0207.4	F41C3.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172268	EG171788	air-2	icp-1	B0207.4	Y39G10AR.13	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG175792	pmk-1	B0336.7	B0218.3	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG177342	pmk-1	csn-5	B0218.3	B0547.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG179743	pmk-1	cky-1	B0218.3	C15C8.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG175638	pmk-1	pal-1	B0218.3	C38D4.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	C44C8.6	pmk-1	mak-2	B0218.3	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG172581	pmk-1	rskn-2	B0218.3	C54G4.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG174165	pmk-1	N/A	B0218.3	F10E7.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG181340	pmk-1	F29G6.3	B0218.3	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG177839	pmk-1	nhr-4	B0218.3	F32B6.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG179240	pmk-1	tag-196	B0218.3	F41E6.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG174768	pmk-1	N/A	B0218.3	F54D5.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	F59A2.1	pmk-1	Nucleoporin	B0218.3	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG176000	pmk-1	ogt-1	B0218.3	K04G7.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	K11E8.1	pmk-1	unc-43	B0218.3	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG259963	pmk-1	N/A	B0218.3	R02F2.9	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG179535	pmk-1	actin	B0218.3	T04C12.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG172302	pmk-1	N/A	B0218.3	T09B4.9	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG178139	pmk-1	N/A	B0218.3	T12G3.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG178732	pmk-1	N/A	B0218.3	W02G9.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG174924	pmk-1	gsy-1	B0218.3	Y46G5A.31	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG180181	pmk-1	tag-201	B0218.3	Y59A8B.9	Two-hybrid	Li S (2004)	14704431	6239	6239
EG191743	EG190707	pmk-1	grl-15	B0218.3	Y75B8A.20	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178914	EG172074	N/A	rpl-4	B0238.12	B0041.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178914	EG173846	N/A	sgt-1	B0238.12	R05F9.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178914	EG180264	N/A	N/A	B0238.12	Y39B6A.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178912	M110.5	carboxylesterase	dab-1	B0238.1	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG181891	EG182643	N/A	N/A	B0272.2	C15H9.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG181891	EG179522	N/A	F17C11.9	B0272.2	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG181891	F56A8.7	N/A	Syntaxin	B0272.2	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175993	EG175993	nhr-10	nhr-10	B0280.8	B0280.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175993	EG177706	nhr-10	rad-26	B0280.8	C27B7.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175993	M03D4.1	nhr-10	zen-4	B0280.8	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175993	EG174826	nhr-10	N/A	B0280.8	ZK930.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG173772	EG173772	N/A	N/A	B0286.3	B0286.3	Two-hybrid	Li S (2004)	14704431	6239	6239
B0286.4	B0286.4	ntl-2	ntl-2	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0286.4	EG185757	ntl-2	nhr-111	N/A	F44G3.9	Two-hybrid	Li S (2004)	14704431	6239	6239
EG176221	EG178028	SLP-1	N/A	B0303.9	R07H5.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175801	EG178732	ARF	N/A	B0336.2	W02G9.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG176031	EG174456	synaptobrevin	N/A	B0361.10	T23G7.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG175628	EG176011	rps-0	rps-21	B0393.1	F37C12.11	Two-hybrid	Li S (2004)	14704431	6239	6239
EG172247	EG180059	N/A	nhr-60	B0414.8	F57A10.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG181158	EG173374	B0416.5	cyclophillin	N/A	F31C3.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG178042	spk-1	B0035.1	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG175801	spk-1	ARF	N/A	B0336.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	C32F10.1	spk-1	obr-4	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG179971	spk-1	daf-21	N/A	C47E8.5	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	F26H11.2	spk-1	nurf-1	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG172219	spk-1	cey-2	N/A	F46F11.2	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG178064	spk-1	N/A	N/A	H02I12.5	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG179275	spk-1	N/A	N/A	T19A5.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0464.5	EG190025	spk-1	ddl-2	N/A	Y48E1B.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG176331	EG176054	tag-342	tbp-1	B0464.8	T20B12.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG182010	EG177342	N/A	csn-5	B0496.7	B0547.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG182010	C09H6.2	N/A	lin-10	B0496.7	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG182010	EG177440	N/A	dyci-1	B0496.7	C17H12.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG182010	EG174662	N/A	N/A	B0496.7	R06F6.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG174236	N/A	F18A1.6	B0507.1	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG172195	N/A	atp-3	B0507.1	F27C1.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG174371	N/A	rpl-5	B0507.1	F54C9.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG172335	N/A	N/A	B0507.1	K04F10.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG173846	N/A	sgt-1	B0507.1	R05F9.10	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG178615	N/A	N/A	B0507.1	T21H3.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG178362	N/A	lst-3	B0507.1	Y37A1B.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG180264	N/A	N/A	B0507.1	Y39B6A.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG179256	EG189773	N/A	N/A	B0507.1	Y39G10AR.17	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178353	EG172308	B0513.2	N/A	N/A	T05E7.5	Two-hybrid	Li S (2004)	14704431	6239	6239
